Place name,Total Score,Street,City,State,Country Code,Website,Phone,Categories,URL,Category Name,Demo Website URL
Rain,4.5,Mohammed Bin Khalifa St,,Abu Dhabi,AE,,+971 2 583 2689,"Cafe, Coffee store",https://www.google.com/maps/search/?api=1&query=Rain&query_place_id=ChIJGQtIkIFoXj4RSo9ZCgHhCuM,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/rain.html
Key Cafe Marina Mall,4.9,MARINA MALL - Ring Road,,Abu Dhabi,AE,,+971 55 247 3080,Coffee shop,https://www.google.com/maps/search/?api=1&query=Key%20Cafe%20Marina%20Mall&query_place_id=ChIJqb49VZNlXj4RT9RvVyJYo80,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/key-cafe-marina-mall.html
Le Pure specialty café & Restaurant,4.5,85 شارع ضَغْوَة,,Abu Dhabi,AE,,+971 2 557 6066,"Cafe, Breakfast restaurant, Brunch restaurant, Cake shop, Dessert shop, Diner, Lunch restaurant, Pastry shop",https://www.google.com/maps/search/?api=1&query=Le%20Pure%20specialty%20caf%C3%A9%20%26%20Restaurant&query_place_id=ChIJWQZIbF1DXj4RPA67_MuHb40,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/le-pure-specialty-caf-restaurant.html
Parallel Cafe,4.3,568 Al Khaleej Al Arabi St,,Abu Dhabi,AE,,+971 50 132 9224,"Espresso bar, Breakfast restaurant, Coffee shop",https://www.google.com/maps/search/?api=1&query=Parallel%20Cafe&query_place_id=ChIJg1PPyBtpXj4R1CSn2hn6oG8,Espresso bar,https://abdulbaasithere.github.io/cafe-leads-demo/parallel-cafe.html
Garden House Cafe (restricted to tenants),4.9,Reem island,,Abu Dhabi,AE,,+971 58 283 5070,"Cafe, Pizza restaurant, Coffee shop, Pizza delivery, Pizza Takeout, Restaurant",https://www.google.com/maps/search/?api=1&query=Garden%20House%20Cafe%20(restricted%20to%20tenants)&query_place_id=ChIJA9ZYRe5nXj4R30aQuQ6exXU,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/garden-house-cafe-restricted-to-tenants.html
PAL Cafe بال كافيه,4.3,CJV6+CJ9 https://goo.gl/maps/yNvMbHfsi9ifhWkb8,,Abu Dhabi,AE,,+971 50 704 4473,Cafe,https://www.google.com/maps/search/?api=1&query=PAL%20Cafe%20%D8%A8%D8%A7%D9%84%20%D9%83%D8%A7%D9%81%D9%8A%D9%87&query_place_id=ChIJUzlblM1PXj4Rs4AOVrFAiA0,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/pal-cafe.html
Nile Cafe,4.8,25 شارع قَرْن بُو حِدْرِيَّة,,Abu Dhabi,AE,,+971 50 333 0782,Coffee shop,https://www.google.com/maps/search/?api=1&query=Nile%20Cafe&query_place_id=ChIJh919UaJnXj4Rg0Qzx9b_XNs,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/nile-cafe.html
Black Cafe,4.7,Mohammed Bin Khalifa St,,Abu Dhabi,AE,,+971 50 330 7000,Cafe,https://www.google.com/maps/search/?api=1&query=Black%20Cafe&query_place_id=ChIJHYRvke9pXj4R_YSizEG7k6E,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/black-cafe.html
Santorini Cafe,4.5,5 Al Majlis St,,Abu Dhabi,AE,,+971 50 887 3030,Restaurant,https://www.google.com/maps/search/?api=1&query=Santorini%20Cafe&query_place_id=ChIJIR4HImhnXj4R72sgcQiJorM,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/santorini-cafe.html
Mug N Cream Cafe,4.5,"ADCP, Tower D - Rihan Heights St",,Abu Dhabi,AE,,+971 2 666 5696,Cafe,https://www.google.com/maps/search/?api=1&query=Mug%20N%20Cream%20Cafe&query_place_id=ChIJaUHSdrpnXj4RExYD52l9i94,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/mug-n-cream-cafe.html
TURF Café,4.6,HF76+j6,,Abu Dhabi,AE,,+971 2 626 0812,Cafe,https://www.google.com/maps/search/?api=1&query=TURF%20Caf%C3%A9&query_place_id=ChIJN1Gi6exnXj4RcIPpZCMW6ZE,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/turf-caf.html
Mylk Bakery & Cafe,4.5,29 Al Muroor Street,,Abu Dhabi,AE,,+971 2 626 0570,"Coffee shop, Cake shop, Candy store, Juice shop, Pastry shop",https://www.google.com/maps/search/?api=1&query=Mylk%20Bakery%20%26%20Cafe&query_place_id=ChIJ8xKcDeZpXj4RVWu0aGx2-XU,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/mylk-bakery-cafe.html
